
 ========================================
 Usage Information
 For: 23c9fdef9e2cca96434d1534b94995cc4d046bcf
 ========================================
 Meter Reading Information
 Type of readings: Electricity, Energy Consumption, Real energy in kilowatt-hours 
 ========================================
 Detailed Usage
 ========================================
 Start date: 2022-01-13 00:00 for 401 days
 ========================================
 Interval Blockdata for period starting:, 2022-01-13 00:00  for 401 days
 ========================================
 Energy consumption time period,Usage(Real energy in kilowatt-hours),Cost(US Dollar),Events occurred
 2022-01-13 00:00 to 2022-01-14 00:00,11.420,1.07,
 2022-01-14 00:00 to 2022-01-15 00:00,8.080,0.76,
 2022-01-15 00:00 to 2022-01-16 00:00,13.470,1.26,
 2022-01-16 00:00 to 2022-01-17 00:00,10.770,1.01,
 2022-01-17 00:00 to 2022-01-18 00:00,8.980,0.84,
 2022-01-18 00:00 to 2022-01-19 00:00,14.170,1.32,
 2022-01-19 00:00 to 2022-01-20 00:00,16.070,1.50,
 2022-01-20 00:00 to 2022-01-21 00:00,8.800,0.82,
 2022-01-21 00:00 to 2022-01-22 00:00,5.610,0.52,
 2022-01-22 00:00 to 2022-01-23 00:00,6.750,0.63,
 2022-01-23 00:00 to 2022-01-24 00:00,9.690,0.91,
 2022-01-24 00:00 to 2022-01-25 00:00,5.320,0.50,
 2022-01-25 00:00 to 2022-01-26 00:00,8.620,0.81,
 2022-01-26 00:00 to 2022-01-27 00:00,6.170,0.58,
 2022-01-27 00:00 to 2022-01-28 00:00,5.140,0.48,
 2022-01-28 00:00 to 2022-01-29 00:00,5.020,0.47,
 2022-01-29 00:00 to 2022-01-30 00:00,6.210,0.58,
 2022-01-30 00:00 to 2022-01-31 00:00,11.880,1.11,
 2022-01-31 00:00 to 2022-02-01 00:00,4.890,0.46,
 2022-02-01 00:00 to 2022-02-02 00:00,5.160,0.48,
 2022-02-02 00:00 to 2022-02-03 00:00,10.350,0.97,
 2022-02-03 00:00 to 2022-02-04 00:00,12.190,1.14,
 2022-02-04 00:00 to 2022-02-05 00:00,7.640,0.71,
 2022-02-05 00:00 to 2022-02-06 00:00,7.080,0.66,
 2022-02-06 00:00 to 2022-02-07 00:00,12.630,1.18,
 2022-02-07 00:00 to 2022-02-08 00:00,8.890,0.83,
 2022-02-08 00:00 to 2022-02-09 00:00,4.880,0.46,
 2022-02-09 00:00 to 2022-02-10 00:00,4.880,0.46,
 2022-02-10 00:00 to 2022-02-11 00:00,3.600,0.34,
 2022-02-11 00:00 to 2022-02-12 00:00,3.550,0.33,
 2022-02-12 00:00 to 2022-02-13 00:00,7.530,0.70,
 2022-02-13 00:00 to 2022-02-14 00:00,18.450,1.72,
 2022-02-14 00:00 to 2022-02-15 00:00,6.200,0.58,
 2022-02-15 00:00 to 2022-02-16 00:00,5.160,0.48,
 2022-02-16 00:00 to 2022-02-17 00:00,4.030,0.38,
 2022-02-17 00:00 to 2022-02-18 00:00,5.480,0.51,
 2022-02-18 00:00 to 2022-02-19 00:00,7.040,0.66,
 2022-02-19 00:00 to 2022-02-20 00:00,5.720,0.53,
 2022-02-20 00:00 to 2022-02-21 00:00,5.160,0.48,
 2022-02-21 00:00 to 2022-02-22 00:00,15.840,1.48,
 2022-02-22 00:00 to 2022-02-23 00:00,5.930,0.55,
 2022-02-23 00:00 to 2022-02-24 00:00,7.390,0.69,
 2022-02-24 00:00 to 2022-02-25 00:00,10.350,0.97,
 2022-02-25 00:00 to 2022-02-26 00:00,7.090,0.66,
 2022-02-26 00:00 to 2022-02-27 00:00,7.440,0.70,
 2022-02-27 00:00 to 2022-02-28 00:00,13.380,1.25,
 2022-02-28 00:00 to 2022-03-01 00:00,5.410,0.51,
 2022-03-01 00:00 to 2022-03-02 00:00,6.130,0.57,
 2022-03-02 00:00 to 2022-03-03 00:00,4.500,0.42,
 2022-03-03 00:00 to 2022-03-04 00:00,6.650,0.62,
 2022-03-04 00:00 to 2022-03-05 00:00,4.110,0.38,
 2022-03-05 00:00 to 2022-03-06 00:00,6.050,0.57,
 2022-03-06 00:00 to 2022-03-07 00:00,17.500,1.64,
 2022-03-07 00:00 to 2022-03-08 00:00,4.510,0.42,
 2022-03-08 00:00 to 2022-03-09 00:00,4.960,0.46,
 2022-03-09 00:00 to 2022-03-10 00:00,5.610,0.52,
 2022-03-10 00:00 to 2022-03-11 00:00,5.630,0.53,
 2022-03-11 00:00 to 2022-03-12 00:00,4.550,0.43,
 2022-03-12 00:00 to 2022-03-13 00:00,5.960,0.56,
 2022-03-13 00:00 to 2022-03-14 01:00,19.550,1.83,
 2022-03-14 00:00 to 2022-03-15 00:00,6.230,0.58,
 2022-03-15 00:00 to 2022-03-16 00:00,4.610,0.43,
 2022-03-16 00:00 to 2022-03-17 00:00,5.800,0.54,
 2022-03-17 00:00 to 2022-03-18 00:00,4.010,0.37,
 2022-03-18 00:00 to 2022-03-19 00:00,3.390,0.32,
 2022-03-19 00:00 to 2022-03-20 00:00,5.960,0.56,
 2022-03-20 00:00 to 2022-03-21 00:00,5.850,0.55,
 2022-03-21 00:00 to 2022-03-22 00:00,20.320,1.90,
 2022-03-22 00:00 to 2022-03-23 00:00,8.120,0.76,
 2022-03-23 00:00 to 2022-03-24 00:00,4.210,0.39,
 2022-03-24 00:00 to 2022-03-25 00:00,6.370,0.60,
 2022-03-25 00:00 to 2022-03-26 00:00,3.670,0.34,
 2022-03-26 00:00 to 2022-03-27 00:00,12.690,1.19,
 2022-03-27 00:00 to 2022-03-28 00:00,21.390,2.00,
 2022-03-28 00:00 to 2022-03-29 00:00,12.810,1.20,
 2022-03-29 00:00 to 2022-03-30 00:00,13.560,1.27,
 2022-03-30 00:00 to 2022-03-31 00:00,6.920,0.65,
 2022-03-31 00:00 to 2022-04-01 00:00,3.810,0.36,
 2022-04-01 00:00 to 2022-04-02 00:00,4.130,0.39,
 2022-04-02 00:00 to 2022-04-03 00:00,6.370,0.60,
 2022-04-03 00:00 to 2022-04-04 00:00,18.330,1.71,
 2022-04-04 00:00 to 2022-04-05 00:00,7.460,0.70,
 2022-04-05 00:00 to 2022-04-06 00:00,18.110,1.69,
