,Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition
0,11:53 PM,73ʡF,67ʡF,81ʡ%,CALM,0ʡmph,0ʡmph,29.31ʡin,0.0ʡin,Mostly Cloudy
1,12:53 AM,71ʡF,66ʡF,84ʡ%,CALM,0ʡmph,0ʡmph,29.31ʡin,0.0ʡin,Partly Cloudy
2,1:53 AM,71ʡF,66ʡF,84ʡ%,ESE,5ʡmph,0ʡmph,29.29ʡin,0.0ʡin,Partly Cloudy
3,3:53 AM,68ʡF,66ʡF,93ʡ%,CALM,0ʡmph,0ʡmph,29.30ʡin,0.0ʡin,Partly Cloudy
4,4:53 AM,68ʡF,66ʡF,93ʡ%,CALM,0ʡmph,0ʡmph,29.30ʡin,0.0ʡin,Mostly Cloudy
5,5:34 AM,69ʡF,67ʡF,93ʡ%,SSW,3ʡmph,0ʡmph,29.31ʡin,0.0ʡin,Thunder
6,5:53 AM,71ʡF,68ʡF,90ʡ%,W,5ʡmph,0ʡmph,29.32ʡin,0.0ʡin,Thunder
7,6:45 AM,71ʡF,69ʡF,93ʡ%,W,5ʡmph,0ʡmph,29.33ʡin,0.0ʡin,Thunder
8,6:53 AM,71ʡF,69ʡF,93ʡ%,CALM,0ʡmph,0ʡmph,29.33ʡin,0.0ʡin,Thunder
9,7:53 AM,72ʡF,67ʡF,84ʡ%,N,10ʡmph,0ʡmph,29.31ʡin,0.0ʡin,Cloudy
10,8:53 AM,75ʡF,66ʡF,73ʡ%,VAR,3ʡmph,0ʡmph,29.23ʡin,0.0ʡin,Cloudy
11,9:53 AM,80ʡF,68ʡF,67ʡ%,ESE,15ʡmph,0ʡmph,29.26ʡin,0.0ʡin,Fair
12,10:53 AM,81ʡF,68ʡF,65ʡ%,NNE,10ʡmph,0ʡmph,29.29ʡin,0.0ʡin,Mostly Cloudy
13,11:53 AM,84ʡF,68ʡF,58ʡ%,NE,7ʡmph,0ʡmph,29.27ʡin,0.0ʡin,Mostly Cloudy
14,12:53 PM,87ʡF,68ʡF,53ʡ%,NNE,7ʡmph,0ʡmph,29.25ʡin,0.0ʡin,Partly Cloudy
15,1:53 PM,89ʡF,67ʡF,48ʡ%,NNE,10ʡmph,0ʡmph,29.22ʡin,0.0ʡin,Partly Cloudy
16,2:53 PM,90ʡF,66ʡF,45ʡ%,VAR,3ʡmph,0ʡmph,29.20ʡin,0.0ʡin,Fair
17,3:53 PM,92ʡF,65ʡF,41ʡ%,NE,12ʡmph,0ʡmph,29.18ʡin,0.0ʡin,Fair
18,4:53 PM,92ʡF,65ʡF,41ʡ%,NE,12ʡmph,0ʡmph,29.16ʡin,0.0ʡin,Fair
19,5:53 PM,91ʡF,64ʡF,41ʡ%,E,9ʡmph,0ʡmph,29.15ʡin,0.0ʡin,Fair
20,6:53 PM,88ʡF,64ʡF,45ʡ%,E,8ʡmph,0ʡmph,29.15ʡin,0.0ʡin,Fair
21,7:53 PM,85ʡF,64ʡF,49ʡ%,ESE,7ʡmph,0ʡmph,29.17ʡin,0.0ʡin,Fair
22,8:53 PM,82ʡF,68ʡF,62ʡ%,SE,8ʡmph,0ʡmph,29.18ʡin,0.0ʡin,Partly Cloudy
23,9:53 PM,78ʡF,66ʡF,66ʡ%,SSE,7ʡmph,0ʡmph,29.21ʡin,0.0ʡin,Partly Cloudy
24,10:53 PM,75ʡF,66ʡF,73ʡ%,CALM,0ʡmph,0ʡmph,29.21ʡin,0.0ʡin,Fair
25,,,,,,,,,,
26,,,,,,,,,,
27,,,,,,,,,,
28,,,,,,,,,,
29,,,,,,,,,,
30,,,,,,,,,,
31,,,,,,,,,,
32,,,,,,,,,,
33,,,,,,,,,,
34,,,,,,,,,,
